# BEAST v10.5.0
# Generated Wed Mar 25 23:27:03 UTC 2026 [seed=1774481222668]
# -beagle_threads 12 -force_resume -load_state ../xmls/BRCA1/BRCA1_serial_save -overwrite ../xmls/BRCA1/BRCA1_shrinkage_fixedRates_Serial.xml
state	posterior	prior	likelihood	increment.0	increment.1	increment.2	increment.3	increment.4	increment.5	increment.6	increment.7	increment.8	increment.9	increment.10	increment.11	increment.12	increment.13	omega.rates1	omega.rates2	omega.rates3	omega.rates4	omega.rates5	omega.rates6	omega.rates7	omega.rates8	omega.rates9	omega.rates10	omega.rates11	omega.rates12	omega.rates13	omega.rates14
0	-9384.8384496724	-25.483783965659786	-9359.35466570674	0.04544263477554911	1.7442369099835147	-0.12776828877344726	0.6925223611447477	-0.3410217143602442	0.2998466274845235	-0.7974179507966059	-1.2802832820208538	1.8616810122191023	0.5359457226248086	-0.7999577497288354	-0.028098780114722	-0.7728767805543353	-0.10083016107476307	2.098674380749516	11.474190093341639	0.2742854195368885	0.3644954864993556	0.28856715818974527	0.5633465411697168	0.40728254856937035	0.2779585486398621	2.0054395494119386	0.31166769190012666	0.1823616507601424	0.405836170503663	0.41740139524946024	0.9040865689384856
50	-9384.329831699759	-23.428535862882708	-9360.901295836877	0.04544263477554911	0.9868584410471652	0.6329349554336832	0.2885617996748422	-0.4766933375402136	0.10179499495025679	-0.7974179507966059	-1.2802832820208538	1.6574911648669295	0.3361750085070758	-0.5316688114388992	0.10757284306524739	-0.7728767805543353	-0.10083016107476307	2.098674380749516	5.380179319705001	0.7198640198975356	0.3644954864993556	0.28856715818974527	0.46212865775533923	0.40728254856937035	0.2779585486398621	2.0054395494119386	0.382270081143348	0.2731312281757642	0.464806495569883	0.41740139524946024	0.9040865689384856
100	-9382.01427105505	-22.870011757023526	-9359.144259298026	0.144514271308799	0.06041623587139611	0.014641863031825464	0.2885617996748422	-0.25971843065322786	0.10179499495025679	-0.9852458910053006	-1.3533205436478402	1.7038352223447324	0.2898309510292729	-0.3146939045519135	-0.10940206382173834	-0.8687512991776762	-0.004955642451422099	2.3172416507460474	2.1303355430069995	0.37034136301325643	0.3644954864993556	0.28856715818974527	0.46212865775533923	0.3715018134324896	0.2583808696574209	2.0054395494119386	0.3649583801186284	0.2731312281757642	0.37414606658357163	0.41740139524946024	0.9950566164859675
150	-9381.874423565789	-22.820481254578652	-9359.05394231121	0.10634703002511703	0.06041623587139611	-0.0026373434046766953	0.2612716867750866	-0.25971843065322786	0.10179499495025679	-0.9703386125503112	-1.3533205436478402	1.7038352223447324	0.2898309510292729	-0.3146939045519135	-0.10940206382173834	-0.8538440207226868	-0.019862920906411504	2.2304654672429503	2.1303355430069995	0.3639971276754091	0.35468286626673073	0.28856715818974527	0.46212865775533923	0.3715018134324896	0.2583808696574209	2.0054395494119386	0.3649583801186284	0.2731312281757642	0.37414606658357163	0.41740139524946024	0.9803330472621484
200	-9381.985105170472	-21.98314551498161	-9360.00195965549	0.10634703002511703	0.06041623587139611	-0.131264969768073	0.3217475605372072	0.03427652462051256	0.3015322402151347	-0.43012611944429624	-1.3533205436478402	1.575207595981336	0.3444588387014871	0.053300789413009086	-0.40339701909547876	-0.3136315276166719	-0.5600754140124264	2.2304654672429503	2.1303355430069995	0.3639971276754091	0.4057347691665262	0.28856715818974527	0.564296926036647	0.3715018134324896	0.2583808696574209	2.0054395494119386	0.4150549604876858	0.29410948843979096	0.2788436744771701	0.41740139524946024	0.5711659883056459
250	-9386.269926983341	-23.550820130055076	-9362.719106853287	1.4262910419059742	0.36502815799347865	-0.131264969768073	0.3217475605372072	0.03427652462051256	0.1251857010182652	-0.7483865841263488	-1.363825452917536	1.575207595981336	0.3444588387014871	0.053300789413009086	-0.5797435582923482	-0.455545453101855	-0.2418149493303738	8.349104647567568	2.8889451091766243	0.3639971276754091	0.4057347691665262	0.28856715818974527	0.564296926036647	0.3715018134324896	0.2556808088415566	2.0054395494119386	0.4150549604876858	0.29410948843979096	0.2788436744771701	0.4978978206475615	0.7852014661656427
300	-9386.831482094647	-23.867333701591924	-9362.964148393055	1.4262910419059742	0.24809516104625973	-1.3315952820082204	0.3217475605372072	-0.18277573060216024	0.1251857010182652	-0.7483865841263488	-1.1574049083804303	1.1439167135769828	0.7757497211058405	0.053300789413009086	-0.5797435582923482	-0.455545453101855	-0.2418149493303738	8.349104647567568	2.5701349941069793	0.16869739482249982	0.4057347691665262	0.2322642164486369	0.564296926036647	0.3715018134324896	0.31430076274359503	2.0054395494119386	0.6388705353577494	0.29410948843979096	0.2788436744771701	0.4978978206475615	0.7852014661656427
350	-9390.916848445784	-27.015660614727203	-9363.901187831058	1.4262910419059742	-0.9455274301319391	0.26554227362308613	0.06630214801259426	-0.18277573060216024	-0.023885134011633946	-0.7483865841263488	-1.1574049083804303	2.741054269208289	-0.5341364187139612	-0.23395062639849562	-0.7288143933222474	-0.30647461807195586	-0.2418149493303738	8.349104647567568	0.7790623741842024	0.16869739482249982	0.23580444528888653	0.2322642164486369	0.564296926036647	0.3715018134324896	0.31430076274359503	2.0054395494119386	0.12935547996584218	0.22067713194105032	0.2788436744771701	0.5779374885810821	0.7852014661656427
400	-9387.869791936337	-24.710566522249458	-9363.159225414087	1.550183627577745	-0.2905647439547452	-0.7455112611494426	1.1053367176146174	-0.18277573060216024	-0.023885134011633946	-0.7483865841263488	-1.452793708909228	1.3602351929362428	0.47691711605856746	-0.23395062639849562	-0.7288143933222474	-0.30647461807195586	-0.2418149493303738	6.529179923731602	1.0361718183528457	0.16869739482249982	0.666498180360787	0.2322642164486369	0.564296926036647	0.3715018134324896	0.23391588152646506	1.3855507608710367	0.35553290613157695	0.22067713194105032	0.2788436744771701	0.5779374885810821	0.7852014661656427
450	-9390.616704017866	-27.15991335991769	-9363.456790657949	1.550183627577745	-0.46830013845480617	-0.257420485814555	1.1053367176146174	0.021007727717010205	-0.023885134011633946	0.5723876999792765	-1.452793708909228	1.8483259682711304	-0.01117365927632008	-0.5295138848631213	-0.4332511348576217	1.0142996660336694	-1.5625892334359992	6.529179923731602	0.8674456533288735	0.16869739482249982	0.666498180360787	0.3826888681871871	0.564296926036647	0.3715018134324896	0.23391588152646506	1.3855507608710367	0.21822508553577816	0.22067713194105032	0.374733301414419	0.5779374885810821	0.2095926836412994
