# BEAST v10.5.0
# Generated Wed Mar 25 18:52:07 UTC 2026 [seed=1774464727266]
# -beagle_threads 12 -force_resume -load_state ../xmls/BRCA1/BRCA1_hmc_save -overwrite ../xmls/BRCA1/BRCA1_shrinkage_fixedRates_HMC.xml
state	posterior	prior	likelihood	increment.0	increment.1	increment.2	increment.3	increment.4	increment.5	increment.6	increment.7	increment.8	increment.9	increment.10	increment.11	increment.12	increment.13	omega.rates1	omega.rates2	omega.rates3	omega.rates4	omega.rates5	omega.rates6	omega.rates7	omega.rates8	omega.rates9	omega.rates10	omega.rates11	omega.rates12	omega.rates13	omega.rates14
0	-9386.186254059116	-25.181976287120442	-9361.004277771995	0.04544263477554911	1.7442369099835147	-0.12776828877344726	0.6925223611447477	-0.3410217143602442	0.2998466274845235	-0.7974179507966059	-1.2802832820208538	1.8616810122191023	0.5359457226248086	-0.7999577497288354	-0.028098780114722	-0.7728767805543353	-0.10083016107476307	2.098674380749516	11.474190093341639	0.2742854195368885	0.3644954864993556	0.28856715818974527	0.5633465411697168	0.40728254856937035	0.2779585486398621	2.0054395494119386	0.31166769190012666	0.1823616507601424	0.405836170503663	0.41740139524946024	0.9040865689384856
2	-9385.745827624967	-22.571357432232247	-9363.174470192735	-0.19315631270510392	1.4628307125776425	-0.6978891585119928	0.6540916137581207	-0.16098346941627495	0.4654085941833151	-0.6307759257305317	-1.421932263708329	0.5130702508402145	-0.022375328707708864	-0.48101332619914683	0.14735950507263906	-0.6961719911374509	-0.2463414925568997	0.3758261177333172	1.9686702796372682	0.13581905024882132	0.5368289891969367	0.3843746895724825	0.620577433815988	0.4159802822476222	0.24124741262082425	0.45590428961719437	0.2729292612896853	0.279104977407446	0.451511706419537	0.38964723154589	0.7816552498931785
4	-9385.701571434514	-21.79309607397829	-9363.908475360537	0.06452084240925338	1.379350985443689	-0.5043420781183625	0.595450015907628	0.2557996169860631	0.14495472934980846	-0.5649456549450915	-1.3203398089982283	0.465656104433811	-0.37607242014671316	-0.18820699715645373	-0.09007621907377605	-0.6378407074353807	-0.35449625468392815	0.3274186500182828	1.2193458072755186	0.11636369666936609	0.5090697886786635	0.43752844235212685	0.42853527050440826	0.3987415127978819	0.2670445424078285	0.3069604110138828	0.1926861463441441	0.28065751008241974	0.3387770081219592	0.37070934424373503	0.7015267450259394
6	-9383.176005964855	-23.30140828148022	-9359.874597683374	-0.23294961474180323	0.42361660272684437	-0.12401718142188889	0.6033279838487704	-0.2714044296611957	0.002779287933670105	-0.7031316713679295	-1.27426265187861	2.08165123916803	-0.12865613928618802	-0.6211894789814667	-0.21467574808064505	-0.5556848751472636	-0.27388014425456164	1.056134176905621	2.0363957502386385	0.14688525618573062	0.3457282342781208	0.26830116024087797	0.437453120762681	0.376434274906504	0.27963708210038596	1.333177050448009	0.16627929810825623	0.18910927687859674	0.35195893663270944	0.4362390005589484	0.7604232108899984
8	-9384.247195649335	-22.371414494751274	-9361.875781154584	-0.715415636390801	0.43253265335570545	-0.7672928627821396	0.5808942341931129	-0.11256386026817178	0.04811326195156074	-0.3888824209681959	-1.4238514823159196	1.079021693367916	0.27878666330445	-0.7590856431284627	0.16357285365320617	-0.5557161058092441	-0.3592654703496483	0.41974762324451026	1.3229269185209964	0.13547060965398552	0.3947115115429622	0.4214843705498059	0.4202656304329408	0.4732422376159639	0.24078485011875336	0.8583992091597623	0.29179385492120924	0.2208007946484965	0.4717015878327194	0.40052400521347453	0.6981889782749513
10	-9384.247195649335	-22.371414494751274	-9361.875781154584	-0.715415636390801	0.43253265335570545	-0.7672928627821396	0.5808942341931129	-0.11256386026817178	0.04811326195156074	-0.3888824209681959	-1.4238514823159196	1.079021693367916	0.27878666330445	-0.7590856431284627	0.16357285365320617	-0.5557161058092441	-0.3592654703496483	0.41974762324451026	1.3229269185209964	0.13547060965398552	0.3947115115429622	0.4214843705498059	0.4202656304329408	0.4732422376159639	0.24078485011875336	0.8583992091597623	0.29179385492120924	0.2208007946484965	0.4717015878327194	0.40052400521347453	0.6981889782749513
12	-9386.728597437455	-21.875084886564863	-9364.85351255089	-0.03242564674239723	-0.7969074329227911	-0.29262505768756497	0.0792323227244287	0.3651875394081239	0.10996824000018401	-0.9548760686446689	-1.3314149187064692	0.48156241242462694	1.1021767418221713	-0.17078693283311686	-0.6304061857662092	-0.5488978950591801	-0.013741619660419301	1.2062071795055727	0.5615800715707762	0.5744851967671467	0.2767611800399113	0.43698423455186103	0.6359271445999767	0.3796074113604576	0.26410331209162713	1.2459602539349557	0.7697758645585561	0.25567897295731273	0.3032961068060708	0.5697033371848684	0.9863523654001766
14	-9384.49832929514	-22.860111311195823	-9361.638217983944	0.6691728798699412	1.4781871039339376	-0.8821518100272691	0.5120186473608458	-0.3804036481064541	-0.2791352185946032	-0.8995736632924347	-1.2759391169312808	0.27654815610717864	0.17012168651138826	-0.10529280731666635	-0.6098804859186779	-0.3321754663056369	-0.06987212693964495	0.9986227852397608	2.242600343178904	0.1605337609399816	0.5459640001949811	0.24849520553074936	0.5060181140387419	0.379293187854112	0.2791686730502219	0.5114266815913073	0.38786451054511695	0.3271878243858413	0.3635174131010785	0.6689489074832761	0.9325130555805086
16	-9387.555975206538	-23.145790786646987	-9364.410184419892	1.1053976675743395	1.0991394612811773	-0.04703446754808138	0.22793259358686568	0.2673694129330706	0.023866067963957738	-0.8588689972898288	-1.49637458454407	-0.2604839611203209	0.25952855386973317	0.17553496520435252	-0.884188856287016	-0.414853541191059	-0.31036560907963373	0.7193330749506895	0.7148453972273416	0.29482333836343466	0.29941028733022884	0.2613124153976656	0.4959138373801702	0.3106045850793882	0.22394056782433117	0.23815621654185998	0.309021480758242	0.23838386144739704	0.20000598126471536	0.4842184407244128	0.7331788503716175
18	-9383.004405542206	-20.485660803670395	-9362.518744738536	0.3863433532389855	0.379701188487259	-0.6289791372851693	-0.08061591197511508	-0.1618224837435407	0.22531006557875582	-0.5069496717204138	-1.229285583157981	0.07949822456653066	0.4151846760388561	-0.11897933706511754	-0.6212513000388131	-0.1547685327264689	-0.4927434414644439	0.6024706325562773	0.5984821839866509	0.20158642677808938	0.23030321245074464	0.23916878618139123	0.6556016544088877	0.3679923558466261	0.29250147103073065	0.4094011852415278	0.3781146073549041	0.24963819950831204	0.2811791483353705	0.5233462572707981	0.6109479928829631
